15.175,10.6045,6.32256,3.70776,1.76951,0.712662,0.247423,
15.25,10.6955,6.38929,3.65703,1.66325,0.607873,0.167217,
15.6964,11.6138,7.76297,5.24848,3.18073,1.81671,0.958636,
15.8519,11.775,7.83572,5.20858,3.01413,1.60115,0.725271,
18.2112,14.8086,11.5931,9.26033,7.13594,5.44031,4.06279,
18.9568,15.3707,11.7025,9.28754,6.8965,4.96145,3.37263,
21.648,18.4657,15.5289,13.479,11.4281,9.60618,7.95799,
22.9061,19.5413,16.0741,13.6518,11.0937,8.84131,6.947,
23.998,21.3013,18.711,16.737,14.7026,12.9887,11.284,
26.4208,23.0604,19.5859,17.208,14.6489,12.2163,10.0881,
26.6696,23.9981,21.3164,19.4054,17.561,15.6299,14.1309,
29.7551,26.6044,23.02,20.5019,17.8691,15.3797,13.0316,
28.4036,26.2364,23.7095,21.7533,19.9271,18.6352,16.926,
32.991,29.419,26.4004,23.3859,20.8165,18.3615,16.002,
30.5425,27.94,25.7663,24.0753,22.2841,20.5654,19.045,
36.0014,32.7823,29.0884,26.5054,23.627,21.2175,18.8709,
